Question;Answer
Če pride do zastoja v neki ambulanti družinske medicine ali dežurni periferni ambulanti, je tak bolnik vključen v študijo, saj je aktivirana NMP (kaj je v tem primeru kraj srčnega zastoja - drugo?). Kaj pa če pride do zastoja v ambulanti dežurne medicine ali dežurni ambulanti (tako v UC, kot izven UC), je bolnik vključen v študijo?;Bolnik je vključen v študijo. Lokacija zastoja: drugo, nujna vožnja: ne.
Kako izpolnimo polje 'Potrjen srčni zastoj'?;Pri potrjenem srčnem zastoju je mišljeno, da je potrjen s strani NMP in ne dispečerja. Lahko se zgodi, da dispečer daje navodila za TPO, ko NMP prispe na kraj dogodka ugotovi, da ni bil srčni zastoj ampak le stanje, ki ga je posnemalo.
Kako izpolnimo polje 'Nujna vožnja'?;V primeru, da je naročen mrtvogled, izberemo NE. V primeru, da gre za nujno vožnjo s prižganimi modrimi lučmi in sireno, izberemo DA.
Kako izpolnimo polje 'Mehanski stiski prsnega koša' v primeru, da naprava ni bila uporabljena?;V tem primeru obkrožite 'Neznano/ni podatka'.
Kako izpolnimo polje 'Začetni/prvi ritem (EuReCa3)' v primeru, da AED ni bil uporabljen?;Izberite odgovor ne glede ali je bil uporabljen AED ali ne ali če je prvi ritem prepoznan s strani NMP z npr. Lifepack.
Kaj naredim, ko vnesem in potrdim napačen podatek?;V primeru, da ste storili napako in obrazec oddali lahko preko [obrazca]() naredite popravek. To storite tako, da ID podatke vnesete na vrh obrazca potem pa samo popravite pri variabli, ki ste jo izpolnili narobe. Ko obrazec oddate, boste povozili starejši podatek.
Ura v bazi je drugačna od ure, ki sem jo vpisal_a; Preverite ali so minute pravilne. V primeru, da so to pomeni, da je vse vredu. Metabase prikazuje ure v drugem časovnem pasu in zaradi tega napiše 'napačno' uro.
Ali vključimo v EuReCo tudi primer, na katerega je DSZ prožila nujni VUZ (z lučkami), ne pa tudi NRV. Sprejem klica: samomor z obešenjem.;Da, vključite ga v register.
Pri primerih, ko oživljanje ni indicirano, kako označim podatke, ki jih ni bilo smiselno izpolniti, hkrati pa stran zahteva, da se izpolnijo;Podatke, ki niso smiselni oz. jih niste mogli pridobiti označite z 'Neznano/ni podatka'.
Pri rubriki '*Čas, ko je pričela oseba, ki jo je DCZ/NMP poslal na kraj zastoja (npr. prvi posredovalec) z oživljanjem (TPO)*' me zanima ali napišeš tudi čas, če npr. oživlja svojec, ki je že bil na kraju in mu DC daje navodila?; **Ne**, ker v tem primeru je svojec očividec. Oseba, ki jo pislje DCZ, je oseba, ki jo DCZ alarmira in pošlje na kraj dogodka.
Kaj odgovoriti pri zdravilih, ko se ne izvaja reanimacije?; Izberemo 'Neznano / ni podatka'.
Če bolnik umre na terenu ali naj se hkrati izpolni tudi obrazec '30 dni po reanimaciji'; Če pacient umre, lahko obrazec 30 dni po dogodku izpolnite takoj, saj imate vse podatke, ki jih potrebujete.
Kaj je razlika med Očividcem in prvim posredovalcem - pomembno pri vpisovanju časov (bodite pozorni na to čas koga obrazec od vas zahteva);Očividec (bystander) je oseba, ki nima nujno znanja iz prve pomoči in ni bila 'alarmirana' s strani DCZ/NMP ter je bodisi priča dogodka bodisi je slučajno naletela na osebo s srčnim zastojem. Prvi posredovalec je oseba, ki ima osnovno znanje iz prve pomoči in je 'alarmirana' s strani NMP/DCZ z namenom, da nudi pomoč osebi s srčnim zastojem. 
Če je ReCO poslal na kraj prometne nesreče policiste in ti oživljajo pred prihodom NMP, ali damo, da oživljajo očividci ali prvi posredovalci?; Pri vprašanju 'Katero osebo, ki bi lahko nudila pomoč/oživljanje, je DCZ/NMP poslal na kraj srčnega zastoja?' izberite 'Policija'.
Če je oseba evidentno mrtva (mrliške spremembe) in se ne snema monitorja. Označimo prvi ritem asistolija (to lahko zagovoto sklepamo) ali pa neznano/ni podatka?; Odgovorimo, da NMP ne oživlja in označimo dead on arrival. Nato vprašanja, ki jih ne moremo/niso smiselna za odgovoriti označimo z „neznano/ni podatka“.
Kako ustrezno beležit časovno zaporedje dve različnih NMP ekip za isto intervencijo?; Kar se tiče prihoda NMP, vnesite čas prihoda prve ekipe NMP (NRV je del NMP in nas zanima čas prihoda službe NMP, oz. odzivni čas službe NMP).
V kolikor pride do srčnega zastoja med prevozom pacienta v bolnico (se pravi bolnik je denimo sprva bil obravnavan na terenu oz. doma ali kjer koli zaradi motnje ritma in med prevozom v bolnico gre v srčni zastoj) označimo kot kraj/lokacijo srčnega zastoja: CESTA oz. Ulica/Avtocesta ali oboje oznažimo kot Drugo/ostalo?; Navedi kraj, kjer se je zgodil zastoj. Ker se lahko vpričo NMP zgodi doma, v hotelu, službi,... Če pa se je zgodil v reševalnem vozilu navedi 'Drugo'.
