obcina;enota_nmp;povrsina;st_preb
Ajdovščina;ZD Ajdovščina;245.2;19741
Ankaran/Ancarano;ZD Koper;8.0;3249
Apače;ZD Gornja Radgona;53.5;3556
Beltinci;ZD Murska Sobota;62.2;8110
Benedikt;ZD Lenart;24.1;2661
Bistrica ob Sotli;ZD Šmarje pri Jelšah;31.1;1370
Bled;ZD Bled;72.3;8239
Bloke;ZD Cerknica;75.1;1590
Bohinj;ZD Bled;333.7;5771
Borovnica;RP UKCL;42.3;4636
Bovec;ZD Tolmin;367.3;3204
Braslovče;ZD Žalec;55.0;5669
Brda;ZD Nova Gorica;72.0;5641
Brežice;ZD Brežice;268.1;24346
Brezovica;RP UKCL;91.2;12818
Cankova;ZD Murska Sobota;30.6;1759
Celje;ZD Celje;94.9;48847
Cerklje na Gorenjskem;ZD Kranj;78.0;7875
Cerknica;ZD Cerknica;241.0;11681
Cerkno;ZD Idrija;131.5;4542
Cerkvenjak;ZD Lenart;24.5;2135
Cirkulane;ZD Ptuj;32.1;2377
Črenšovci;ZD Lendava;33.7;3984
Črna na Koroškem;Zdravstveno reševalni center Koroške;156.0;3219
Črnomelj;ZD Črnomelj;339.7;14337
Destrnik;ZD Ptuj;34.4;2650
Divača;ZD Sežana;145.0;4324
Dobje;ZD Šentjur;17.5;948
Dobrepolje;RP UKCL;103.1;3883
Dobrna;ZD Celje;31.7;2266
Dobrova - Polhov Gradec;RP UKCL;117.5;7818
Dobrovnik/Dobronak;ZD Lendava;31.1;1287
Dol pri Ljubljani;RP UKCL;33.3;6333
Dolenjske Toplice;ZD Novo mesto;110.2;3570
Domžale;ZD Domžale;72.3;36792
Dornava;ZD Ptuj;28.4;2862
Dravograd;Zdravstveno reševalni center Koroške;105.0;8849
Duplek;ZD Maribor;40.0;7017
Gorenja vas - Poljane;ZD Škofja Loka;153.3;7666
Gorišnica;ZD Ptuj;29.1;4195
Gorje;ZD Bled;116.2;2800
Gornja Radgona;ZD Gornja Radgona;74.6;8466
Gornji Grad;ZSDZ NAZARJE;90.1;2495
Gornji Petrovci;ZD Murska Sobota;66.8;2007
Grad;ZD Murska Sobota;37.4;2077
Grosuplje;RP UKCL;133.8;21279
Hajdina;ZD Ptuj;21.8;3902
Hoče - Slivnica;ZD Maribor;53.7;11755
Hodoš/Hodos;ZD Murska Sobota;18.1;361
Horjul;RP UKCL;32.5;2997
Hrastnik;ZD Hrastnik;58.6;8980
Hrpelje - Kozina;ZD Sežana;194.9;4874
Idrija;ZD Idrija;293.6;11723
Ig;RP UKCL;98.8;7707
Ilirska Bistrica;ZD Ilirska Bistrica;480.0;13354
Ivančna Gorica;RP UKCL;227.0;17587
Izola/Isola;ZD Izola;28.6;16717
Jesenice;ZD Jesenice;75.8;21653
Jezersko;ZD Kranj;68.8;676
Juršinci;ZD Ptuj;36.3;2456
Kamnik;ZD Kamnik;265.6;29953
Kanal;ZD Nova Gorica;146.5;5228
Kidričevo;ZD Ptuj;71.5;6554
Kobarid;ZD Tolmin;192.6;4061
Kobilje;ZD Lendava;19.7;538
Kočevje;ZD Kočevje;555.4;15620
Komen;ZD Sežana;102.7;3631
Komenda;ZD Kamnik;24.1;6469
Koper/Capodistria;ZD Koper;303.2;53440
Kostanjevica na Krki;ZD Krško;58.3;2443
Kostel;ZD Kočevje;56.1;688
Kozje;ZD Šmarje pri Jelšah;89.7;3039
Kranj;ZD Kranj;150.9;56784
Kranjska Gora;ZD Jesenice;256.3;7970
Križevci;ZD Ljutomer;46.2;3536
Krško;ZD Krško;286.5;25775
Kungota;ZD Maribor;49.0;4873
Kuzma;ZD Murska Sobota;22.9;1661
Laško;ZD Laško;197.5;13059
Lenart;ZD Lenart;62.1;8518
Lendava/Lendva;ZD Lendava;122.9;10404
Litija;ZD Litija;221.4;15692
Ljubljana;RP UKCL;275.0;293822
Ljubno;ZSDZ NAZARJE;78.9;2561
Ljutomer;ZD Ljutomer;107.2;11214
Log - Dragomer;RP UKCL;11.0;3647
Logatec;ZD Logatec;173.1;14694
Loška dolina;ZD Cerknica;166.8;3711
Loški Potok;ZD Ribnica;134.5;1796
Lovrenc na Pohorju;ZD Maribor;84.4;2967
Luče;ZSDZ NAZARJE;109.5;1469
Lukovica;ZD Domžale;74.9;5949
Majšperk;ZD Ptuj;72.8;4046
Makole;ZD Slovenska Bistrica;36.9;2024
Maribor;ZD Maribor;147.5;112838
Markovci;ZD Ptuj;29.8;4026
Medvode;RP UKCL;77.6;16785
Mengeš;ZD Domžale;22.4;8481
Metlika;ZD Metlika;108.9;8446
Mežica;Zdravstveno reševalni center Koroške;26.4;3579
Miklavž na Dravskem polju;ZD Maribor;12.5;7013
Miren - Kostanjevica;ZD Nova Gorica;62.8;5057
Mirna;ZD Trebnje;31.3;2671
Mirna Peč;ZD Novo mesto;48.0;3064
Mislinja;Zdravstveno reševalni center Koroške;112.2;4553
Mokronog - Trebelno;ZD Trebnje;73.4;3146
Moravče;ZD Domžale;61.4;5489
Moravske Toplice;ZD Murska Sobota;144.5;5981
Mozirje;ZSDZ NAZARJE;53.5;4267
Murska Sobota;ZD Murska Sobota;64.4;18547
Muta;Zdravstveno reševalni center Koroške;38.8;3407
Naklo;ZD Kranj;28.3;5392
Nazarje;ZSDZ NAZARJE;43.4;2641
Nova Gorica;ZD Nova Gorica;279.5;31835
Novo mesto;ZD Novo mesto;235.7;37339
Odranci;ZD Lendava;6.9;1613
Oplotnica;ZD Slovenska Bistrica;33.2;4125
Ormož;ZD Ormož;141.6;11913
Osilnica;ZD Kočevje;36.2;325
Pesnica;ZD Maribor;75.8;7508
Piran/Pirano;ZD Koper;44.6;18441
Pivka;ZD Postojna;223.3;6222
Podčetrtek;ZD Šmarje pri Jelšah;60.6;3629
Podlehnik;ZD Ptuj;46.0;1851
Podvelka;Zdravstveno reševalni center Koroške;103.9;2342
Poljčane;ZD Slovenska Bistrica;37.5;4486
Polzela;ZD Žalec;34.0;6374
Postojna;ZD Postojna;269.9;16699
Prebold;ZD Žalec;40.6;5245
Preddvor;ZD Kranj;87.0;3800
Prevalje;Zdravstveno reševalni center Koroške;58.1;6791
Ptuj;ZD Ptuj;66.7;23531
Puconci;ZD Murska Sobota;107.7;5892
Rače - Fram;ZD Maribor;51.2;7711
Radeče;ZD Radeče;52.0;4147
Radenci;ZD Gornja Radgona;34.1;5084
Radlje ob Dravi;Zdravstveno reševalni center Koroške;93.9;6168
Radovljica;ZD Bled;118.7;19342
Ravne na Koroškem;Zdravstveno reševalni center Koroške;63.4;11276
Razkrižje;ZD Ljutomer;9.8;1249
Rečica ob Savinji;ZSDZ NAZARJE;30.1;2347
Renče - Vogrsko;ZD Nova Gorica;29.5;4372
Ribnica;ZD Ribnica;153.6;9634
Ribnica na Pohorju;Zdravstveno reševalni center Koroške;59.3;1147
Rogaška Slatina;ZD Šmarje pri Jelšah;71.5;11396
Rogašovci;ZD Murska Sobota;40.1;3123
Rogatec;ZD Šmarje pri Jelšah;39.6;3084
Ruše;ZD Maribor;60.8;7063
Šalovci;ZD Murska Sobota;58.2;1390
Selnica ob Dravi;ZD Maribor;64.5;4534
Semič;ZD Črnomelj;146.7;3877
Šempeter - Vrtojba;ZD Nova Gorica;14.9;6219
Šenčur;ZD Kranj;40.3;8818
Šentilj;ZD Maribor;65.0;8352
Šentjernej;ZD Novo mesto;96.0;7223
Šentjur;ZD Šentjur;222.3;19349
Šentrupert;ZD Trebnje;49.1;2943
Sevnica;ZD Sevnica;272.2;17651
Sežana;ZD Sežana;217.4;13818
Škocjan;ZD Novo mesto;60.4;3413
Škofja Loka;ZD Škofja Loka;146.0;23535
Škofljica;RP UKCL;43.3;11620
Slovenj Gradec;Zdravstveno reševalni center Koroške;173.7;16671
Slovenska Bistrica;ZD Slovenska Bistrica;260.1;25969
Slovenske Konjice;ZD Slovenske Konjice;97.8;15241
Šmarje pri Jelšah;ZD Šmarje pri Jelšah;107.7;10378
Šmarješke Toplice;ZD Novo mesto;34.2;3513
Šmartno ob Paki;ZD Velenje;18.2;3273
Šmartno pri Litiji;ZD Litija;94.9;5664
Sodražica;ZD Ribnica;49.5;2232
Solčava;ZSDZ NAZARJE;102.8;526
Šoštanj;ZD Velenje;95.6;8782
Središče ob Dravi;ZD Ormož;32.7;1924
Starše;ZD Maribor;34.0;4056
Štore;ZD Celje;28.1;4451
Straža;ZD Novo mesto;28.5;3880
Sveta Ana;ZD Lenart;37.2;2336
Sveta Trojica v Slov. goricah;ZD Lenart;25.9;2215
Sveti Andraž v Slov. goricah;(prazno);17.6;1193
Sveti Jurij ob Ščavnici;ZD Gornja Radgona;51.3;2850
Sveti Jurij v Slov. goricah;ZD Lenart;30.7;2105
Sveti Tomaž;ZD Ormož;38.1;2032
Tabor;ZD Žalec;34.8;1674
Tišina;ZD Murska Sobota;38.8;3949
Tolmin;ZD Tolmin;382.3;10969
Trbovlje;ZD Trbovlje;58.0;15917
Trebnje;ZD Trebnje;163.3;13407
Trnovska vas;ZD Ptuj;22.9;1375
Tržič;OZG Gorenjske;155.4;15031
Trzin;ZD Domžale;8.6;3899
Turnišče;ZD Lendava;23.8;3178
Velenje;ZD Velenje;83.5;33558
Velika Polana;ZD Lendava;18.7;1381
Velike Lašče;RP UKCL;103.2;4522
Veržej;ZD Ljutomer;12.0;1343
Videm;ZD Ptuj;80.0;5619
Vipava;ZD Ajdovščina;107.4;5764
Vitanje;ZD Slovenske Konjice;59.4;2267
Vodice;RP UKCL;31.4;4943
Vojnik;ZD Celje;75.3;9064
Vransko;ZD Žalec;53.3;2675
Vrhnika;RP UKCL;115.6;17654
Vuzenica;Zdravstveno reševalni center Koroške;50.1;2634
Zagorje ob Savi;ZD Zagorje;147.1;16328
Žalec;ZD Žalec;117.1;21492
Zavrč;ZD Ptuj;19.3;1507
Železniki;ZD Škofja Loka;163.7;6684
Žetale;ZD Ptuj;38.0;1303
Žiri;ZD Škofja Loka;49.2;4987
Žirovnica;ZD Jesenice;42.6;4478
Zreče;ZD Slovenske Konjice;67.0;6611
Žužemberk;ZD Novo mesto;164.3;4755
